name,testMethods,snapshotTestMethods,assertions,snapshotAssertions,hasOnlyFileST,hasOnlyInlineST,hasBothST
rahuldkjain/github-profile-readme-generator,78,60,100,60,1,0,0
raphamorim/react-ape,30,4,87,4,1,0,0
rcaferati/react-awesome-button,7,7,7,7,1,0,0
rcaferati/react-native-really-awesome-button,10,2,14,2,1,0,0
reach/router,79,7,67,7,1,0,0
react-boilerplate/react-boilerplate-cra-template,99,27,128,27,1,0,0
react-boilerplate/react-boilerplate,293,20,356,20,1,0,0
react-bootstrap-table/react-bootstrap-table2,736,2,1374,2,1,0,0
react-dropzone/react-dropzone,141,1,400,1,1,0,0
react-ga/react-ga,108,1,307,1,0,1,0
react-materialize/react-materialize,227,104,274,105,1,0,0
react-native-community/releases,7,1,9,1,1,0,0
reactjsresources/react-webpack-babel,1,1,1,1,1,0,0
rebassjs/grid,13,13,24,13,1,0,0
rebassjs/rebass,46,10,82,10,1,0,0
risingstack/react-easy-state,69,9,191,27,1,0,0
rnosov/react-reveal,22,22,22,22,1,0,0
rubylouvre/anu,826,2,1771,2,1,0,0
salesforce-ux/theo,88,29,92,29,1,0,0
samdenty/gqless,149,45,607,90,0,1,0
scullyio/scully,127,12,161,15,1,0,0
seatgeek/react-infinite,91,20,138,22,1,0,0
seek-oss/treat,64,55,71,55,0,0,1
serverless-nextjs/serverless-next.js,1093,23,1538,23,1,0,0
shipitjs/shipit,145,0,265,0,1,1,0
shopify/slate,128,4,190,9,1,0,0
snowpackjs/snowpack,273,37,442,51,0,0,1
sokra/rawact,17,17,20,20,1,0,0
souporserious/react-measure,7,2,18,4,1,0,0
sparkpost/heml,1,1,1,1,1,0,0
ssense/vue-carousel,109,33,160,33,1,0,0
stereobooster/react-snap,52,1,91,1,1,0,0
storybookjs/react-treebeard,17,1,17,1,1,0,0
streamich/libreact,174,19,270,19,1,0,0
styled-components/styled-theming,6,2,16,4,1,0,0
styled-system/styled-system,161,4,181,4,1,0,0
supasate/connected-react-router,53,2,76,2,1,0,0
tailwindlabs/tailwindcss-custom-forms,27,27,27,27,0,1,0
taskrabbit/react-native-parsed-text,15,8,30,11,0,1,0
trivago/parallel-webpack,60,5,58,5,1,0,0
trojanowski/react-apollo-hooks,49,22,160,52,0,1,0
vagr9k/gatsby-advanced-starter,132,36,274,43,1,0,0
vitalets/react-native-extended-stylesheet,91,1,146,1,1,0,0
vkbansal/react-contextmenu,17,2,46,4,1,0,0
vsmode/pixel8,7,2,19,3,1,0,0
vuedx/languagetools,183,6,521,8,0,1,0
wasdk/webassemblystudio,834,13,1778,13,1,0,0
webpack-contrib/extract-text-webpack-plugin,21,1,22,1,1,0,0
webpack-contrib/file-loader,52,41,164,141,1,0,0
webpack-contrib/install-webpack-plugin,67,19,142,19,1,0,0
webpack-contrib/uglifyjs-webpack-plugin,87,84,349,252,1,0,0
webpack-contrib/url-loader,67,63,241,234,1,0,0
webpack-contrib/webpack-serve,83,64,123,80,1,0,0
webpack-contrib/worker-loader,48,46,224,168,1,0,0
webpack/tapable,50,19,128,28,1,0,0
wellyshen/react-cool-starter,30,15,32,15,1,0,0
withastro/snowpack,273,37,442,51,0,0,1
wolox/react-chat-widget,13,2,13,2,1,0,0
xotahal/react-native-material-ui,28,25,37,25,1,0,0
yiminghe/async-validator,98,7,194,8,0,1,0
yoctol/messaging-apis,681,4,1381,4,1,0,0
znck/vue-developer-experience,183,6,521,8,0,1,0
